Id,Name,Capital,SurfaceAreaKm2,PopulationMln,President,Currency
1,Afghanistan,Kabul,652230,38,Ashraf Ghani,Afghani
2,Albania,Tirana (Tirane),28748,2.87,Ilir Meta,Lek
3,Algeria,Algiers,2381741,44.6,Abdelmadjid Tebboune,Algerian Dinar
4,Andorra,Andorra la Vella,468,0.08,Joan Enric Vives SicÃ­lia,Euro
5,Angola,Luanda,1246700,32.9,JoÃ£o LourenÃ§o,Angolan Kwanza
6,Antigua and Barbuda,Saint John's,442,0.1,Gaston Browne,East Caribbean Dollar
7,Argentina,Buenos Aires,2780400,45.4,Alberto FernÃ¡ndez,Argentine Peso
8,Armenia,Yerevan,29743,2.96,Armen Sarkissian,Armenian Dram
9,Australia,Canberra,7692024,25.9,Scott Morrison,Australian Dollar
10,Austria,Vienna,83879,8.9,Alexander Van der Bellen,Euro
11,Azerbaijan,Baku,86600,10.2,Ilham Aliyev,Azerbaijani Manat
12,Bahamas,Nassau,13880,0.39,Hubert Minnis,Bahamian Dollar
13,Bahrain,Manama,760,1.7,Hamad bin Isa Al Khalifa,Bahraini Dinar
14,Bangladesh,Dhaka,147570,165.7,Abdul Hamid,Bangladeshi Taka
15,Barbados,Bridgetown,430,0.29,Mia Mottley,Barbadian Dollar
16,Belarus,Minsk,207600,9.4,Alyaksandr Lukashenka,Belarusian Ruble
17,Belgium,Brussels,30528,11.5,Alexander De Croo,Euro
18,Belize,Belmopan,22966,0.4,Johnny BriceÃ±o,Belize Dollar
19,Benin,Porto Novo,112622,12.1,Patrice Talon,West African CFA franc
20,Bhutan,Thimphu,38394,0.8,Jigme Khesar Namgyel Wangchuck,Bhutanese Ngultrum
21,Bolivia,La Paz,1098581,11.4,Luis Arce,Boliviano
22,Bosnia and Herzegovina,Sarajevo,51197,3.3,Å efik DÅ¾aferoviÄ‡,Bosnia and Herzegovina Convertible Mark
23,Botswana,Gaborone,581730,2.4,Mokgweetsi Masisi,Botswana Pula
24,Brazil,Brasilia,8515767,212.6,Jair Bolsonaro,Brazilian Real
25,Brunei,Bandar Seri Begawan,5765,0.4,Hassanal Bolkiah,Brunei Dollar
